Neighborhood,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),ratio_steam,ratio_electricity,ratio_gas,flag_datacenter,flag_laboratory,flag_office,flag_downtown,flag_greatduw,flag_lakeu,outlier
1,2,57428,14,51747.0,1247362.0,0.0,0.5731607985492584,0.42683920145074167,False,False,False,True,False,False,False
1,8,59400,11,34947.0,5071974.0,0.0,0.9999998028381061,0.0,False,False,True,True,False,False,False
1,2,52549,2,23500.0,15026196.0,0.0,0.3082921985045317,0.6917078014954683,False,False,False,True,False,False,True
10,3,56072,8,56072.0,3234787.75,0.0,0.17060377454440404,0.8293959936011258,False,False,False,False,False,False,False
11,2,54984,11,54984.0,3375211.0,0.0,0.5861055797696796,0.4138944202303204,False,False,True,False,False,False,False
10,3,179014,15,179014.0,16701055.0,0.0,0.5919676331824546,0.40803230694108844,False,False,False,False,False,False,True
10,6,90439,15,40174.0,15473117.0,0.3443263887941906,0.6556735142634803,0.0,False,False,False,False,False,False,True
4,2,58320,16,72072.0,1049748.625,0.0,0.34465679819299594,0.6553426064263719,False,False,False,False,False,True,False
4,5,316306,11,261826.0,13795954.0,0.0,0.9329612870556107,0.06703856797434958,False,False,True,False,False,True,True
7,1,389000,7,368000.0,23658978.0,0.25754071033837556,0.6094576866338013,0.02910861153850348,False,False,False,False,False,False,True
7,1,91213,7,65000.0,8141155.5,0.5060866359818333,0.4611280302900491,0.0,False,False,False,False,False,False,False
7,5,396085,7,278500.0,20955026.0,0.46593547533656127,0.3460900024652797,0.0,False,False,False,False,False,False,True
4,12,571329,11,598801.0,39605888.0,0.0,0.8131669462883903,0.1868329527165254,False,False,True,False,False,True,True
7,2,52000,7,52000.0,2726369.0,0.44101880559821505,0.47438516209654674,0.0,False,False,False,False,False,False,False
7,1,60696,7,108000.0,875943.3125,0.0,0.9999996432417537,0.0,False,False,False,False,False,False,False
7,2,262048,7,296000.0,20723248.0,0.24789646873887722,0.6520544462914307,0.0,False,False,False,False,False,False,True
7,2,63888,11,45900.0,4166306.25,0.0,0.9999996999740478,0.0,False,False,True,False,False,False,False
7,6,616891,11,729584.0,36667044.0,0.0,0.7526448273277769,0.2473550908548832,False,False,True,False,False,False,True
7,4,50283,11,48546.0,3476212.5,0.0,0.8470978111953743,0.15290204496992058,False,False,True,False,False,False,False
10,3,67743,8,67743.0,2646879.0,0.0,0.5054201570982277,0.49457984290177226,False,False,False,False,False,False,False
